xmin	xmax	clickSelects	group
3.13017315791327	3.29366901070375	1629	-1
3.28073454835593	3.44423040114642	2304	-1
3.43120315357725	3.59469900636773	3258	-1
3.58176454401991	3.7452603968104	4608	-1
3.73223314924123	3.89572900203171	6516	-1
3.88279453968389	4.04629039247438	9216	-1
4.03329646886317	4.19679232165366	13033	-1
4.18382453534788	4.34732038813836	18432	-1
4.33432646452715	4.49782231731764	26066	-1
4.48485453101186	4.64835038380234	36864	-1
4.63536479078111	4.7988606435716	52133	-1
4.78588452667584	4.94938037946632	73728	-1
4.93639895168016	5.09989480447064	104267	-1
